dataset,seed,epoch,max_fitness,median_fitness,min_fitness
breast_cancer,3,2.0,5083.425416957282,479.1409738612448,360.957803741012
breast_cancer,3,3.0,7518.001201666737,450.6393819601363,360.9411986361465
breast_cancer,3,4.0,7573.589402836743,461.2024464396303,360.8665920610994
breast_cancer,3,0.0,2021.7953672369467,502.43631960632814,357.3749997345682
breast_cancer,3,1.0,3919.8444229788165,524.8090227104067,357.3749997345682
breast_cancer,3,2.0,4211.286090484682,495.35764736814514,356.93249576075834
breast_cancer,3,3.0,4211.286090484682,448.573325401185,356.1855622419937
breast_cancer,3,4.0,4538.041158010133,449.44875237330825,356.1855622419937
breast_cancer,3,0.0,2306.5644602368475,524.266745757493,363.5249919773483
breast_cancer,3,1.0,5947.280797692829,457.07002242321073,361.2142808646445
breast_cancer,3,2.0,5947.280797692829,420.3941494790456,360.69911423150126
breast_cancer,3,3.0,4791.942182231866,439.579360111925,360.69911423150126
breast_cancer,3,4.0,4791.942182231866,446.57005045992076,360.69911423150126
breast_cancer,3,0.0,2035.071726230618,482.2600360484386,363.7803219775523
breast_cancer,3,1.0,3400.8480262235607,420.8509257329291,363.7803219775523
breast_cancer,3,2.0,2913.745511581239,418.64345352105335,363.67468619385255
breast_cancer,3,3.0,3148.8375415636992,415.0476846027411,362.7794569141043
breast_cancer,3,4.0,2940.0985611410388,408.29975896244565,360.5190448928704
heart,3,0.0,1943.3531344101787,104.46647484447607,62.72385509885556
heart,3,1.0,2113.78940480958,97.34839928049695,61.65815721354554
heart,3,2.0,2130.9036949621022,97.99462253118797,61.449096873180295
heart,3,3.0,2843.8923649397157,90.49078385190231,61.257789447208886
heart,3,4.0,3259.338888654183,82.46417737947856,61.257789447208886
heart,3,0.0,1120.2399069705405,172.06164677168778,42.27363680097192
heart,3,1.0,1479.954296354596,133.17903626751993,41.61560221895963
heart,3,2.0,2710.725904510671,86.34968466718155,41.569858602764505
heart,3,3.0,4440.791081601799,76.41184709933299,41.444138858124326
heart,3,4.0,3744.2564023980585,73.87433237108297,41.444138858124326
heart,3,0.0,1242.360551015877,169.91119504826773,30.005325200342636
heart,3,1.0,1322.245941240283,74.93788131602452,28.304489377103128
