dataset,seed,epoch,max_fitness,median_fitness,min_fitness
iris,3,4.0,15.47445570032852,2.4514342691095505,1.6698253264226812
iris,3,5.0,15.47445570032852,2.3627281102645687,1.6698253264226812
iris,3,6.0,15.474393346109165,2.4241832397205747,1.5717754742016146
iris,3,7.0,15.644351152659935,2.413305717931626,1.4820069609568731
iris,3,8.0,15.644351152659935,2.3816937197276653,1.1523627723425824
iris,3,9.0,15.487881768295866,2.400149635386929,1.1435098703379194
iris,3,0.0,8.432466075158693,2.771553422887311,1.7087754986301642
iris,3,1.0,8.974559801701032,2.6154686380713255,1.7047657955765427
iris,3,2.0,8.974559801701032,2.564386908774713,1.6710976832682447
iris,3,3.0,8.147269413015078,2.475851680249924,1.5639912497426827
iris,3,4.0,9.638062222434481,2.4372908142602543,1.4616906035061363
iris,3,5.0,10.002581180464153,2.2305574374145305,1.4616906035061363
iris,3,6.0,9.541598737436347,2.1928867710288062,1.4616906035061363
iris,3,7.0,10.230942499149405,2.159024974811783,1.4616906035061363
iris,3,8.0,12.21698633015557,2.157664209329386,1.4604968819393833
iris,3,9.0,11.134966938983537,2.243993118799485,1.4604968819393833
wine,3,0.0,6.028130431461926,2.801594633104111,1.9453974816601698
wine,3,1.0,8.66712345203703,2.7270466119812284,1.9453974816601698
wine,3,2.0,9.867738543790832,2.531063328745424,1.9453974816601698
wine,3,3.0,11.215723076687258,2.4847105751268956,1.917533636388321
wine,3,4.0,14.007342798719888,2.4688556136410957,1.9170885421210282
wine,3,5.0,12.698543812663331,2.4310132378270985,1.9067998648316589
wine,3,6.0,18.156130805901867,2.376426007438191,1.8701988003699865
wine,3,7.0,13.18454254026747,2.434229102005187,1.8281060912725233
wine,3,8.0,13.18454254026747,2.400345406941185,1.8281060912725233
wine,3,9.0,13.184542540267472,2.3576637280542543,1.77924800786796
wine,3,0.0,6.17609084613958,2.8100268411756733,1.904718414562975
wine,3,1.0,7.994475300467333,2.640665186871327,1.904718414562975
wine,3,2.0,7.365933263591656,2.3886920203272313,1.8738207294221807
wine,3,3.0,7.365933263591656,2.277116244411543,1.8738207294221807
wine,3,4.0,10.24956762438615,2.252237334029039,1.8738207294221807
wine,3,5.0,12.849008802485757,2.282472263211802,1.8555476145132856
wine,3,6.0,12.849008802485757,2.303017606181202,1.8555476145132856
wine,3,7.0,12.828979251359284,2.3894900384505267,1.8483116120664922
wine,3,8.0,12.82897925137802,2.370943586544224,1.7567649610423763
wine,3,9.0,22.022485632158343,2.3354692901969285,1.756764961042314
wine,3,0.0,5.916707719949726,2.782671597012705,1.8909836634806334
wine,3,1.0,5.916707719949735,2.639073620712196,1.8747506136151049
wine,3,2.0,9.211812300039314,2.524014601835399,1.8747506136151049
wine,3,3.0,6.931342247823402,2.3655450191030787,1.8452518275082064
wine,3,4.0,7.846102188154879,2.1502812604803925,1.8300983074202926
wine,3,5.0,13.865814412923077,2.1588406580281845,1.8113203677399508
wine,3,6.0,13.865814412923095,2.203540997175482,1.7812956646900178
wine,3,7.0,11.121149201038445,2.1924851338425397,1.7593107015213993
wine,3,8.0,11.105913605722607,2.1909098651165557,1.7593107015213993
wine,3,9.0,16.98127990708774,2.2230232981740525,1.7496580059808948
wine,3,0.0,5.324411988378737,3.0159921141675383,2.012135849305777
wine,3,1.0,7.890411684831182,2.6855279646889683,2.000295318953851
wine,3,2.0,9.1418824637221,2.68552796468897,2.000295318953851
wine,3,3.0,7.890721235129314,2.6765758718092676,1.9876812840022549
wine,3,4.0,10.353568097841693,2.6070779712456718,1.9581688785747522
wine,3,5.0,10.353568097841693,2.573272444409051,1.9393167518074734
wine,3,6.0,10.822256063765613,2.545178972063522,1.9393167518074734
wine,3,7.0,10.822256063765613,2.392902193990626,1.9180307388356759
wine,3,8.0,10.822256063765613,2.317590818332293,1.9180307388356759
wine,3,9.0,10.927851750959803,2.2095442605210986,1.9116285151179118
wine,3,0.0,5.332035209400849,2.7212613075741094,1.930610502972382
wine,3,1.0,7.39045065675235,2.5762555400819096,1.930610502972382
wine,3,2.0,7.37699273409698,2.3062630117643756,1.930610502972382
wine,3,3.0,8.217660982344606,2.2069975391747403,1.930610502972382
wine,3,4.0,13.15646699715037,2.1327634276144503,1.930609465623001
wine,3,5.0,13.15646699715037,2.0757885089543855,1.901811656549013
wine,3,6.0,18.177787179561932,2.1037491104005945,1.8112069797281236
wine,3,7.0,14.51076318016566,2.0904116793137524,1.77637125090377
wine,3,8.0,14.51076318016566,2.0431744616907404,1.77637125090377
wine,3,9.0,15.151328867909411,2.0363057369384534,1.7522515819768767
breast_cancer,3,0.0,4.148021929042934,1.7719303498122039,1.2669505266621712
breast_cancer,3,1.0,4.5178232278399735,1.6803618529554183,1.2605283423579838
breast_cancer,3,2.0,8.52508493991739,1.5525882797157395,1.2095375453925756
breast_cancer,3,3.0,12.268315499712767,1.5229323307303075,1.1987502119802063
breast_cancer,3,4.0,12.268315499712767,1.498930331414454,1.1911627083443328
breast_cancer,3,5.0,12.287377979567614,1.4974448720144913,1.1868873853651871
breast_cancer,3,6.0,10.561666152819758,1.5049898790550909,1.1664031898872775
breast_cancer,3,7.0,12.196591400025698,1.5100364088317344,1.1644616127251508
breast_cancer,3,8.0,10.731471939567534,1.5162216225296712,1.0004737450604326
breast_cancer,3,9.0,10.789418825386,1.5002730116098641,0.988596404517379
breast_cancer,3,0.0,4.423122851742625,1.8852467604147893,1.1363122193492174
breast_cancer,3,1.0,6.014164938057794,1.7471299040793773,1.1363122193492174
breast_cancer,3,2.0,9.708618057603879,1.734761062236628,1.071020991090528
breast_cancer,3,3.0,9.708618057603879,1.64137528023022,1.071020991090528
breast_cancer,3,4.0,8.437307933206604,1.6679623144901108,1.0532213800537233
breast_cancer,3,5.0,12.61913630135951,1.658187298746783,0.9323018119969911
breast_cancer,3,6.0,12.61913630135951,1.6101755761477607,0.9323018119969911
breast_cancer,3,7.0,12.61913630135951,1.5274901993538925,0.9187108041681281
breast_cancer,3,8.0,12.713552886954712,1.4728146742321893,0.9187108041681281
breast_cancer,3,9.0,12.713552886954712,1.4400283612460316,0.9187108041681281
breast_cancer,3,0.0,4.314656365152413,1.7698480999663548,1.1618022230631464
breast_cancer,3,1.0,8.591327271114109,1.6431248954458375,1.1618022230631464
breast_cancer,3,2.0,8.591327271114109,1.6179927990818002,1.1185444300466525
breast_cancer,3,3.0,9.167035282203194,1.6020364981854438,1.1047939512470497
breast_cancer,3,4.0,8.591327271114109,1.6245005985602992,1.1047939512470497
breast_cancer,3,5.0,8.591327271114109,1.5970772930929555,1.052508697145452
breast_cancer,3,6.0,9.815206818643977,1.5983125778987382,1.052508697145452
breast_cancer,3,7.0,9.340012623722666,1.6108463074764958,1.043149779828809
breast_cancer,3,8.0,9.918474453176517,1.6495734829617077,1.0071687905546405
breast_cancer,3,9.0,12.766097032009638,1.6748849288401368,1.0011608945911685
